City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Brandon,US,27.9378,-82.2859,82.31,75,1,1.01,haze
79,Teguise,ES,29.0605,-13.564,66.42,73,20,8.05,few clouds
80,Hare Bay,CA,48.8499,-54.0148,36.75,66,100,7.67,overcast clouds
81,Issia,CI,6.4922,-6.5856,71.73,99,51,3.38,broken clouds
82,Qaanaaq,GL,77.484,-69.3632,20.57,95,100,10.58,overcast clouds
83,Clyde River,CA,70.4692,-68.5914,32.23,100,90,6.91,overcast clouds
84,Hokitika,NZ,-42.7167,170.9667,62.02,53,42,6.51,moderate rain
85,Polunochnoye,RU,60.8697,60.4153,27.99,97,100,5.53,light snow
86,Huarmey,PE,-10.0681,-78.1522,66.16,79,15,10.2,few clouds
87,Katherine,AU,-14.4667,132.2667,77.32,100,75,4.61,broken clouds
88,Tigil,RU,57.8,158.6667,30.83,98,100,3.2,light snow
89,Adre,TD,13.4667,22.2,77.59,18,9,12.17,clear sky
90,Port Elizabeth,ZA,-33.918,25.5701,64.69,88,0,13.8,clear sky
91,Ca Mau,VN,9.1769,105.15,75.29,94,100,2.73,overcast clouds
92,Mangrol,IN,21.1167,70.1167,79.07,59,9,7.09,clear sky
93,Caravelas,BR,-17.7125,-39.2481,74.97,80,25,8.77,scattered clouds
94,Barrow,US,71.2906,-156.7887,19.42,93,90,3.44,overcast clouds
95,Kaitangata,NZ,-46.2817,169.8464,61.77,67,5,7.49,clear sky
96,Touros,BR,-5.1989,-35.4608,79.7,76,4,16.96,clear sky
97,Souillac,MU,-20.5167,57.5167,72.36,83,40,3.44,scattered clouds
98,Sola,VU,-13.8833,167.55,78.48,80,100,19.42,overcast clouds
99,Victoria,HK,22.2855,114.1577,77.38,80,82,1.01,broken clouds
100,Hilo,US,19.7297,-155.09,80.8,68,20,6.91,few clouds
101,Paamiut,GL,61.994,-49.6678,31.21,70,49,13.8,scattered clouds
102,Yerbogachen,RU,61.2767,108.0108,21.38,72,100,17.2,overcast clouds
103,Airai,TL,-8.9266,125.4092,68.05,66,88,2.71,overcast clouds
104,Mollendo,PE,-17.0231,-72.0147,64.31,84,23,6.22,few clouds
105,Bredasdorp,ZA,-34.5322,20.0403,63.28,94,76,4.61,broken clouds
106,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,75,12.66,broken clouds
107,Vao,NC,-22.6667,167.4833,72.43,85,9,14.43,clear sky
108,Duluth,US,46.7833,-92.1066,50.29,87,90,1.99,overcast clouds
109,Ribeira Grande,PT,38.5167,-28.7,66.6,82,40,10.36,scattered clouds
110,Hambantota,LK,6.1241,81.1185,78.21,79,100,7.11,overcast clouds
111,Karratha,AU,-20.7377,116.8463,75.18,30,3,10.6,clear sky
112,Lluta,PE,-16.0147,-72.0142,57.47,43,18,5.55,few clouds
113,La Ronge,CA,55.1001,-105.2842,41.25,87,90,2.3,light intensity drizzle
114,Hangu,CN,39.2489,117.7892,46.44,50,100,3.78,light rain
